Date,Volume,成交金額,Open,High,Low,Close,漲跌價差,成交筆數
2019-07-15,4676451,"385,077,548",82.0,82.8,81.7,82.4,0.4,"2,275"
2019-07-16,4435191,"364,023,962",81.9,82.4,81.8,82.2,-0.2,"2,465"
2019-07-17,5667425,"464,640,436",81.6,82.3,81.5,82.2,0.0,"2,552"
2019-07-18,4322293,"353,027,985",81.6,82.1,81.2,81.2,-1.0,"2,014"
2019-07-19,5566766,"456,297,417",81.8,82.4,81.3,81.8,0.6,"2,335"
2019-07-22,4009804,"327,450,014",81.8,81.9,81.5,81.6,-0.2,"1,622"
2019-07-23,6533473,"531,141,713",81.7,81.7,80.9,80.9,-0.7,"3,103"
2019-07-24,8127988,"660,499,789",81.0,81.6,81.0,81.3,0.4,"2,692"
2019-07-25,12776542,"1,048,313,257",81.5,82.6,81.3,82.4,1.1,"5,195"
2019-07-26,5541709,"451,164,016",81.6,82.3,81.2,81.3,-1.1,"3,037"
2019-07-29,9542955,"767,498,122",81.0,81.1,79.6,80.3,-1.0,"3,860"
2019-07-30,5875838,"471,670,260",80.5,81.0,80.0,80.0,-0.3,"3,091"
2019-07-31,8836775,"712,867,172",80.0,81.0,80.0,80.8,0.8,"3,529"
2019-08-01,13926121,"1,080,763,699",78.3,78.3,77.1,77.1,X0.00,"6,219"
2019-08-02,8975847,"686,283,787",76.1,77.6,75.7,76.8,-0.30,"3,990"
2019-08-05,6970761,"533,689,362",76.1,77.5,76.0,77.0,+0.20,"3,411"
2019-08-06,8221123,"627,779,771",75.7,77.3,75.2,76.6,-0.40,"4,405"
2019-08-07,9499289,"728,622,265",76.0,77.3,75.8,76.7,+0.10,"4,821"
